label,message
spam,"Your loan request is pre-approved up to Rs 100,000. Apply now with instant confirmation."
spam,Win cash today! Text WIN to 2028 and get entered in the grand draw.
ham,Reminder: our class presentation is scheduled for Wednesday at 9 AM. Let me know.
spam,You are our lucky winner for a free iPhone. Send your code 3147 to receive it. Please respond soon.
spam,"URGENT: Your account has been selected for a $2,500 bonus. Confirm your details today. Thank you."
ham,Reminder: our class presentation is scheduled for Thursday at 9 AM.
ham,"Hi Ayesha, can we meet tomorrow at 4:15 PM to discuss the project?"
spam,"Exclusive deal just for you: earn Rs 50,000 from home with no experience required."
ham,Happy birthday Usman! Hope you have a great day. Thank you.
ham,"Hi Fatima, can we meet tomorrow at 12 PM to discuss the project? Let me know."
spam,Win cash today! Text WIN to 6757 and get entered in the grand draw.
spam,Final notice: Your mailbox storage is full. Verify your account to avoid suspension. Check your inbox for details.
ham,"Hi Usman, can we meet tomorrow at 4:15 PM to discuss the project?"
spam,"Your loan request is pre-approved up to Rs 50,000. Apply now with instant confirmation. This message is important."
ham,Reminder: our class presentation is scheduled for Saturday at 9 AM.
spam,Win cash today! Text WIN to 9248 and get entered in the grand draw.
spam,You are our lucky winner for a smartwatch. Send your code 4215 to receive it. Please respond soon.
spam,You are our lucky winner for a smartwatch. Send your code 5554 to receive it.
spam,You are our lucky winner for a gift card. Send your code 3434 to receive it.
ham,"I will be late due to traffic, but I should reach in about 20 minutes. Thank you."
spam,"Congratulations! You qualify for a government relief payment of $2,500. Register now. Let me know."
ham,"Hi Fatima, can we meet tomorrow at 9 AM to discuss the project? Check your inbox for details."
spam,URGENT: Your account has been selected for a $500 bonus. Confirm your details today. This message is important.
spam,Win cash today! Text WIN to 1092 and get entered in the grand draw.
spam,"Congratulations Ali, you have won a gift card. Claim your reward now by replying YES. Please respond soon."
spam,"Exclusive deal just for you: earn $1,000 from home with no experience required. Check your inbox for details."
spam,You are our lucky winner for a smartwatch. Send your code 6477 to receive it. Please respond soon.
ham,Happy birthday Sara! Hope you have a great day. This message is important.
ham,"Hi Sara, can we meet tomorrow at 12 PM to discuss the project? Thank you."
ham,"Hi Hassan, can we meet tomorrow at 2 PM to discuss the project? Thank you."
ham,Reminder: our class presentation is scheduled for Friday at 4:15 PM.
ham,"Hi Fatima, can we meet tomorrow at 6 PM to discuss the project? Check your inbox for details."
ham,Your appointment is confirmed for Friday at 6 PM. Please arrive 10 minutes early.
ham,Your appointment is confirmed for Thursday at 10:30 AM. Please arrive 10 minutes early. This message is important.
ham,"Hi Sara, can we meet tomorrow at 12 PM to discuss the project? Check your inbox for details."
spam,Your ATM card has been blocked. Submit verification to reactivate immediately. This message is important.
spam,You are our lucky winner for a free iPhone. Send your code 1685 to receive it.
ham,Your appointment is confirmed for Tuesday at 4:15 PM. Please arrive 10 minutes early.
ham,Reminder: our class presentation is scheduled for Saturday at 2 PM. This message is important.
ham,"Hi Zara, can we meet tomorrow at 4:15 PM to discuss the project? Check your inbox for details."
spam,"Congratulations Noor, you have won a free iPhone. Claim your reward now by replying YES."
spam,"Congratulations Usman, you have won a shopping voucher. Claim your reward now by replying YES. Please respond soon."
spam,You are our lucky winner for a gift card. Send your code 3509 to receive it. Please respond soon.
ham,Happy birthday Hassan! Hope you have a great day.
ham,Reminder: our class presentation is scheduled for Thursday at 4:15 PM. This message is important.
spam,"URGENT: Your account has been selected for a Rs 50,000 bonus. Confirm your details today. Check your inbox for details."
ham,The team meeting has been moved to Monday. Please confirm your availability. Please respond soon.
spam,You are our lucky winner for a shopping voucher. Send your code 5064 to receive it. This message is important.
ham,"Hi Zara, can we meet tomorrow at 12 PM to discuss the project?"
spam,Hot deal: buy one get one free on luxury items. Offer expires soon. Thank you.
spam,"Congratulations Ali, you have won a gift card. Claim your reward now by replying YES. This message is important."
spam,You are our lucky winner for a gift card. Send your code 7869 to receive it. Please respond soon.
spam,Win cash today! Text WIN to 6985 and get entered in the grand draw.
spam,Congratulations! You qualify for a government relief payment of $500. Register now.
spam,"Congratulations! You qualify for a government relief payment of $1,000. Register now. Let me know."
spam,"Congratulations Zara, you have won a laptop. Claim your reward now by replying YES. Let me know."
ham,Please find the meeting notes attached and share your feedback when possible. Thank you.
ham,"Hi Zara, can we meet tomorrow at 6 PM to discuss the project?"
ham,"Hi Usman, can we meet tomorrow at 9 AM to discuss the project? Please respond soon."
ham,Your appointment is confirmed for Saturday at 9 AM. Please arrive 10 minutes early. This message is important.
ham,"Hi Ayesha, can we meet tomorrow at 9 AM to discuss the project?"
ham,Reminder: our class presentation is scheduled for Tuesday at 4:15 PM. Let me know.
spam,You are our lucky winner for a free iPhone. Send your code 1060 to receive it.
spam,"Dear user, your package delivery is pending. Pay a small fee to release shipment. Let me know."
spam,Win cash today! Text WIN to 3476 and get entered in the grand draw. Let me know.
spam,Free gift card available for selected customers. Complete the survey to claim. Check your inbox for details.
spam,Win cash today! Text WIN to 5828 and get entered in the grand draw. Check your inbox for details.
ham,Happy birthday Bilal! Hope you have a great day.
ham,The team meeting has been moved to Friday. Please confirm your availability. Thank you.
ham,Reminder: our class presentation is scheduled for Wednesday at 10:30 AM. Thank you.
spam,"Congratulations! You qualify for a government relief payment of Rs 50,000. Register now. Thank you."
ham,"Hi Ayesha, can we meet tomorrow at 10:30 AM to discuss the project? Let me know."
ham,Your appointment is confirmed for Friday at 10:30 AM. Please arrive 10 minutes early.
spam,You have been nominated for a cash prize. Reply with your full name to proceed. Let me know.
spam,Win cash today! Text WIN to 6016 and get entered in the grand draw. Check your inbox for details.
spam,"Congratulations Usman, you have won a smartwatch. Claim your reward now by replying YES. Check your inbox for details."
spam,You are our lucky winner for a free iPhone. Send your code 4610 to receive it.
ham,"Hi Sara, can we meet tomorrow at 10:30 AM to discuss the project? Please respond soon."
spam,Exclusive deal just for you: earn $500 from home with no experience required.
ham,Your appointment is confirmed for Thursday at 9 AM. Please arrive 10 minutes early. This message is important.
ham,Happy birthday Bilal! Hope you have a great day. Please respond soon.
ham,Please submit your project proposal before the deadline. Thank you.
spam,Special crypto investment plan guarantees high returns in 24 hours. Join today.
spam,Win cash today! Text WIN to 7955 and get entered in the grand draw. Thank you.
spam,"Congratulations! You qualify for a government relief payment of Rs 50,000. Register now. Let me know."
spam,Your loan request is pre-approved up to $500. Apply now with instant confirmation. Check your inbox for details.
ham,Your appointment is confirmed for Saturday at 12 PM. Please arrive 10 minutes early.
ham,"Hi Fatima, can we meet tomorrow at 6 PM to discuss the project? This message is important."
ham,Your appointment is confirmed for Saturday at 9 AM. Please arrive 10 minutes early. Thank you.
spam,You are our lucky winner for a holiday package. Send your code 9153 to receive it. Please respond soon.
ham,"Hi Hassan, can we meet tomorrow at 2 PM to discuss the project?"
ham,Please bring your laptop for tomorrow's lab session. Please respond soon.
ham,"Hi Ayesha, can we meet tomorrow at 4:15 PM to discuss the project? Please respond soon."
spam,Final notice: Your mailbox storage is full. Verify your account to avoid suspension. Let me know.
spam,Win cash today! Text WIN to 9786 and get entered in the grand draw. Check your inbox for details.
spam,"Exclusive deal just for you: earn $5,000 from home with no experience required. Thank you."
ham,The client requested a few changes in the design. I will explain during the call. Check your inbox for details.
spam,You are our lucky winner for a holiday package. Send your code 3839 to receive it.
ham,Please find the meeting notes attached and share your feedback when possible.
ham,Your appointment is confirmed for Friday at 10:30 AM. Please arrive 10 minutes early. This message is important.
ham,We need to test the model again after changing the vectorizer settings. Please respond soon.
ham,Your appointment is confirmed for Saturday at 6 PM. Please arrive 10 minutes early. Thank you.
spam,Win cash today! Text WIN to 3772 and get entered in the grand draw.
ham,Reminder: our class presentation is scheduled for Saturday at 2 PM.
ham,"I will be late due to traffic, but I should reach in about 20 minutes. Please respond soon."
ham,"Hi Fatima, can we meet tomorrow at 4:15 PM to discuss the project? This message is important."
ham,Your order has been delivered successfully. Thank you for shopping with us. This message is important.
ham,Happy birthday Noor! Hope you have a great day. Check your inbox for details.
ham,Reminder: our class presentation is scheduled for Friday at 12 PM. This message is important.
spam,Win cash today! Text WIN to 2121 and get entered in the grand draw. Let me know.
spam,You are our lucky winner for a tablet. Send your code 9146 to receive it.
ham,Your appointment is confirmed for Saturday at 2 PM. Please arrive 10 minutes early. Please respond soon.
spam,"Your loan request is pre-approved up to Rs 100,000. Apply now with instant confirmation. Check your inbox for details."
spam,Final notice: Your mailbox storage is full. Verify your account to avoid suspension. Please respond soon.
ham,Your appointment is confirmed for Monday at 4:15 PM. Please arrive 10 minutes early. Please respond soon.
ham,"Hi Bilal, can we meet tomorrow at 4:15 PM to discuss the project? Thank you."
spam,"Exclusive deal just for you: earn $2,500 from home with no experience required."
spam,Win cash today! Text WIN to 8785 and get entered in the grand draw.
ham,"Hi Usman, can we meet tomorrow at 6 PM to discuss the project? This message is important."
ham,Your appointment is confirmed for Wednesday at 2 PM. Please arrive 10 minutes early.
ham,Reminder: our class presentation is scheduled for Saturday at 12 PM.
spam,"Congratulations Ahmed, you have won a tablet. Claim your reward now by replying YES."
spam,URGENT: Your account has been selected for a $500 bonus. Confirm your details today. Thank you.
ham,Your appointment is confirmed for Wednesday at 12 PM. Please arrive 10 minutes early. This message is important.
spam,You are our lucky winner for a smartwatch. Send your code 6929 to receive it.
spam,Congratulations! You qualify for a government relief payment of $500. Register now. Thank you.
ham,"Hi Sara, can we meet tomorrow at 9 AM to discuss the project?"
ham,Your appointment is confirmed for Tuesday at 6 PM. Please arrive 10 minutes early.
ham,Reminder: our class presentation is scheduled for Monday at 4:15 PM. Check your inbox for details.
ham,Your order has been delivered successfully. Thank you for shopping with us. Thank you.
spam,Free gift card available for selected customers. Complete the survey to claim. Let me know.
spam,Win cash today! Text WIN to 5967 and get entered in the grand draw. This message is important.
ham,"Hi Sara, can we meet tomorrow at 4:15 PM to discuss the project? Thank you."
spam,"Earn money fast from your phone. No skills needed, daily payout available. Please respond soon."
ham,Your appointment is confirmed for Friday at 9 AM. Please arrive 10 minutes early.
ham,"Hi Ali, can we meet tomorrow at 12 PM to discuss the project? This message is important."
ham,Happy birthday Sara! Hope you have a great day. Let me know.
ham,Your appointment is confirmed for Saturday at 6 PM. Please arrive 10 minutes early.
spam,You are our lucky winner for a gift card. Send your code 5440 to receive it.
ham,Your appointment is confirmed for Tuesday at 12 PM. Please arrive 10 minutes early. Please respond soon.
spam,"Congratulations Usman, you have won a holiday package. Claim your reward now by replying YES."
ham,We need to test the model again after changing the vectorizer settings. Thank you.
ham,Happy birthday Zara! Hope you have a great day. This message is important.
spam,"Congratulations Noor, you have won a tablet. Claim your reward now by replying YES."
ham,The password for the lab computer has been updated by the admin team. This message is important.
ham,Please submit your project proposal before the deadline. This message is important.
ham,Happy birthday Usman! Hope you have a great day. This message is important.
spam,"Congratulations Bilal, you have won a holiday package. Claim your reward now by replying YES. Thank you."
ham,Your appointment is confirmed for Wednesday at 6 PM. Please arrive 10 minutes early. Let me know.
ham,Reminder: our class presentation is scheduled for Saturday at 4:15 PM.
ham,"Hi Noor, can we meet tomorrow at 12 PM to discuss the project?"
spam,Win cash today! Text WIN to 9691 and get entered in the grand draw. Please respond soon.
spam,"Congratulations! You qualify for a government relief payment of $2,500. Register now. Thank you."
ham,"Hi Zara, can we meet tomorrow at 2 PM to discuss the project?"
spam,Limited time offer! Get 80% off on premium membership. Act before midnight. Check your inbox for details.
spam,You are our lucky winner for a gift card. Send your code 8233 to receive it.
spam,Free gift card available for selected customers. Complete the survey to claim.
ham,"Hi Bilal, can we meet tomorrow at 9 AM to discuss the project? This message is important."
ham,"Hi Usman, can we meet tomorrow at 12 PM to discuss the project?"
ham,The team meeting has been moved to Thursday. Please confirm your availability. Let me know.
spam,Flash sale! Claim a free smartphone after completing a short form.
spam,Win cash today! Text WIN to 2235 and get entered in the grand draw.
spam,You are our lucky winner for a laptop. Send your code 1639 to receive it. Check your inbox for details.
spam,"Congratulations Ahmed, you have won a cash reward. Claim your reward now by replying YES."
ham,Your appointment is confirmed for Friday at 4:15 PM. Please arrive 10 minutes early.
spam,Win cash today! Text WIN to 1931 and get entered in the grand draw. This message is important.
ham,Your appointment is confirmed for Tuesday at 9 AM. Please arrive 10 minutes early. This message is important.
spam,Win cash today! Text WIN to 7453 and get entered in the grand draw.
ham,"Hi Bilal, can we meet tomorrow at 9 AM to discuss the project? Check your inbox for details."
spam,"Congratulations! You qualify for a government relief payment of $1,000. Register now."
ham,Your appointment is confirmed for Tuesday at 12 PM. Please arrive 10 minutes early. Let me know.
spam,Free gift card available for selected customers. Complete the survey to claim. Thank you.
ham,Happy birthday Hassan! Hope you have a great day. Let me know.
ham,"Hi Bilal, can we meet tomorrow at 12 PM to discuss the project?"
ham,Your appointment is confirmed for Thursday at 12 PM. Please arrive 10 minutes early. Please respond soon.
ham,"Hi Noor, can we meet tomorrow at 10:30 AM to discuss the project? This message is important."
spam,Win cash today! Text WIN to 4920 and get entered in the grand draw.
ham,"Hi Hassan, can we meet tomorrow at 4:15 PM to discuss the project?"
ham,Your appointment is confirmed for Tuesday at 10:30 AM. Please arrive 10 minutes early. Thank you.
ham,We need to test the model again after changing the vectorizer settings.
ham,The team meeting has been moved to Wednesday. Please confirm your availability. Please respond soon.
spam,Special crypto investment plan guarantees high returns in 24 hours. Join today. Please respond soon.
ham,Happy birthday Hassan! Hope you have a great day. Thank you.
ham,Reminder: our class presentation is scheduled for Friday at 9 AM. Thank you.
ham,Reminder: our class presentation is scheduled for Thursday at 2 PM. Thank you.
ham,The team meeting has been moved to Saturday. Please confirm your availability.
ham,The team meeting has been moved to Monday. Please confirm your availability. This message is important.
spam,Your ATM card has been blocked. Submit verification to reactivate immediately. Thank you.
spam,Win cash today! Text WIN to 7363 and get entered in the grand draw. Check your inbox for details.
ham,Please bring your laptop for tomorrow's lab session. Let me know.
ham,"Hi Usman, can we meet tomorrow at 2 PM to discuss the project? This message is important."
ham,"Hi Bilal, can we meet tomorrow at 9 AM to discuss the project?"
spam,"Congratulations! You qualify for a government relief payment of $1,000. Register now. Check your inbox for details."
spam,Limited time offer! Get 50% off on premium membership. Act before midnight. Thank you.
spam,You are our lucky winner for a gift card. Send your code 6300 to receive it. Let me know.
ham,Reminder: our class presentation is scheduled for Wednesday at 10:30 AM.
spam,You are our lucky winner for a smartwatch. Send your code 4104 to receive it. Let me know.
ham,Let's have lunch after the lecture if you are free. Check your inbox for details.
spam,You are our lucky winner for a shopping voucher. Send your code 6314 to receive it. Let me know.
ham,Reminder: our class presentation is scheduled for Tuesday at 6 PM. This message is important.
spam,"Congratulations Fatima, you have won a free iPhone. Claim your reward now by replying YES."
spam,Your ATM card has been blocked. Submit verification to reactivate immediately. Check your inbox for details.
spam,"Congratulations Bilal, you have won a smartwatch. Claim your reward now by replying YES. This message is important."
spam,"Congratulations Sara, you have won a free iPhone. Claim your reward now by replying YES."
spam,You are our lucky winner for a smartwatch. Send your code 8758 to receive it.
spam,"Your loan request is pre-approved up to $2,500. Apply now with instant confirmation. Let me know."
spam,"Congratulations Fatima, you have won a cash reward. Claim your reward now by replying YES. Check your inbox for details."
spam,Win cash today! Text WIN to 5664 and get entered in the grand draw.
spam,You are our lucky winner for a holiday package. Send your code 8424 to receive it.
ham,Happy birthday Ahmed! Hope you have a great day. This message is important.
spam,"Exclusive deal just for you: earn Rs 100,000 from home with no experience required. This message is important."
spam,Limited time offer! Get 90% off on premium membership. Act before midnight. Please respond soon.
ham,Your appointment is confirmed for Wednesday at 4:15 PM. Please arrive 10 minutes early. Let me know.
spam,Your loan request is pre-approved up to $500. Apply now with instant confirmation.
ham,I have completed the first draft of the report and uploaded it to the shared folder. Let me know.
ham,Please submit your project proposal before the deadline. Please respond soon.
spam,URGENT: Your account has been selected for a $500 bonus. Confirm your details today.
spam,Alert: unusual login attempt detected. Update your password immediately to secure account. Please respond soon.
ham,Your appointment is confirmed for Friday at 6 PM. Please arrive 10 minutes early. Please respond soon.
ham,"Hi Zara, can we meet tomorrow at 9 AM to discuss the project?"
spam,Limited time offer! Get 80% off on premium membership. Act before midnight. Please respond soon.
ham,Reminder: our class presentation is scheduled for Tuesday at 12 PM. Check your inbox for details.
ham,"Hi Usman, can we meet tomorrow at 12 PM to discuss the project? Please respond soon."
ham,Thanks for your help today. I will send the updated file by evening. This message is important.
ham,Your appointment is confirmed for Friday at 12 PM. Please arrive 10 minutes early. Let me know.
spam,"Earn money fast from your phone. No skills needed, daily payout available. Thank you."
ham,Happy birthday Sara! Hope you have a great day. Please respond soon.
ham,"Hi Usman, can we meet tomorrow at 6 PM to discuss the project?"
spam,Limited time offer! Get 50% off on premium membership. Act before midnight. This message is important.
ham,Can you review the assignment before I submit it tonight?
ham,Reminder: our class presentation is scheduled for Saturday at 6 PM.
spam,Limited time offer! Get 50% off on premium membership. Act before midnight.
ham,Your order has been delivered successfully. Thank you for shopping with us. Please respond soon.
ham,Reminder: our class presentation is scheduled for Wednesday at 12 PM. Check your inbox for details.
ham,"Hi Zara, can we meet tomorrow at 10:30 AM to discuss the project?"
spam,"Congratulations Noor, you have won a free iPhone. Claim your reward now by replying YES. Let me know."
spam,You are our lucky winner for a laptop. Send your code 9499 to receive it. Please respond soon.
spam,"Earn money fast from your phone. No skills needed, daily payout available. Check your inbox for details."
ham,We need to test the model again after changing the vectorizer settings. Let me know.
ham,Reminder: our class presentation is scheduled for Monday at 10:30 AM. Please respond soon.
spam,Win cash today! Text WIN to 5525 and get entered in the grand draw.
spam,Win cash today! Text WIN to 3281 and get entered in the grand draw. Let me know.
spam,Win cash today! Text WIN to 8242 and get entered in the grand draw. Check your inbox for details.
ham,Reminder: our class presentation is scheduled for Monday at 4:15 PM.
spam,"Congratulations! You qualify for a government relief payment of $5,000. Register now. Check your inbox for details."
spam,Final notice: Your mailbox storage is full. Verify your account to avoid suspension.
ham,Reminder: our class presentation is scheduled for Friday at 10:30 AM. This message is important.
ham,"Hi Ali, can we meet tomorrow at 6 PM to discuss the project? Please respond soon."
ham,"Hi Fatima, can we meet tomorrow at 2 PM to discuss the project? This message is important."
spam,You are our lucky winner for a smartwatch. Send your code 8215 to receive it.
spam,Win cash today! Text WIN to 5514 and get entered in the grand draw.
ham,Happy birthday Ahmed! Hope you have a great day.
spam,You are our lucky winner for a smartwatch. Send your code 2527 to receive it.
spam,"Exclusive deal just for you: earn Rs 50,000 from home with no experience required. Let me know."
ham,Let's have lunch after the lecture if you are free. Let me know.
ham,Your appointment is confirmed for Friday at 6 PM. Please arrive 10 minutes early. Thank you.
spam,"Congratulations Sara, you have won a laptop. Claim your reward now by replying YES. Let me know."
spam,You are our lucky winner for a cash reward. Send your code 7922 to receive it. Let me know.
spam,Win cash today! Text WIN to 2241 and get entered in the grand draw.
spam,Free gift card available for selected customers. Complete the survey to claim. Please respond soon.
ham,Your appointment is confirmed for Monday at 12 PM. Please arrive 10 minutes early.
spam,Win cash today! Text WIN to 5889 and get entered in the grand draw.
spam,Win cash today! Text WIN to 9854 and get entered in the grand draw.
ham,Reminder: our class presentation is scheduled for Tuesday at 2 PM. Please respond soon.
spam,You are our lucky winner for a gift card. Send your code 8648 to receive it.
spam,"Exclusive deal just for you: earn Rs 50,000 from home with no experience required. Check your inbox for details."
ham,Reminder: our class presentation is scheduled for Wednesday at 4:15 PM. Thank you.
spam,"Congratulations! You qualify for a government relief payment of $2,500. Register now. This message is important."
spam,You are our lucky winner for a gift card. Send your code 4592 to receive it.
spam,"URGENT: Your account has been selected for a $1,000 bonus. Confirm your details today."
spam,Win cash today! Text WIN to 9922 and get entered in the grand draw. Thank you.
spam,You are our lucky winner for a laptop. Send your code 6575 to receive it.
ham,The password for the lab computer has been updated by the admin team. Thank you.
ham,The team meeting has been moved to Thursday. Please confirm your availability.
spam,Your subscription payment failed. Update billing information now to keep service active. Check your inbox for details.
spam,You are our lucky winner for a tablet. Send your code 1183 to receive it. Thank you.
spam,"Exclusive deal just for you: earn $1,000 from home with no experience required. Please respond soon."
spam,Limited time offer! Get 80% off on premium membership. Act before midnight. Let me know.
ham,"Hi Fatima, can we meet tomorrow at 4:15 PM to discuss the project? Thank you."
ham,"Hi Ayesha, can we meet tomorrow at 6 PM to discuss the project? Check your inbox for details."
ham,Reminder: our class presentation is scheduled for Monday at 6 PM. Check your inbox for details.
ham,"Hi Zara, can we meet tomorrow at 2 PM to discuss the project? Let me know."
ham,Reminder: our class presentation is scheduled for Thursday at 9 AM. Check your inbox for details.
ham,The team meeting has been moved to Friday. Please confirm your availability.
spam,"Exclusive deal just for you: earn $2,500 from home with no experience required. Thank you."
ham,The team meeting has been moved to Monday. Please confirm your availability. Thank you.
spam,Win cash today! Text WIN to 3759 and get entered in the grand draw.
spam,Important security notice: confirm your identity or your account will be locked. This message is important.
ham,Happy birthday Zara! Hope you have a great day. Check your inbox for details.
ham,Could you send me the notes from yesterday's NLP lecture? Let me know.
spam,Important security notice: confirm your identity or your account will be locked.
spam,"Congratulations Hassan, you have won a gift card. Claim your reward now by replying YES."
spam,Win cash today! Text WIN to 9886 and get entered in the grand draw.
spam,"Congratulations! You qualify for a government relief payment of $5,000. Register now."
ham,The team meeting has been moved to Thursday. Please confirm your availability. Check your inbox for details.
ham,Thanks for your help today. I will send the updated file by evening. Please respond soon.
ham,Your appointment is confirmed for Monday at 10:30 AM. Please arrive 10 minutes early.
spam,Win cash today! Text WIN to 4474 and get entered in the grand draw. Check your inbox for details.
spam,You are our lucky winner for a tablet. Send your code 4675 to receive it. Please respond soon.
spam,Special crypto investment plan guarantees high returns in 24 hours. Join today. Let me know.
ham,Happy birthday Ayesha! Hope you have a great day. Check your inbox for details.
ham,"Hi Noor, can we meet tomorrow at 9 AM to discuss the project?"
ham,Your appointment is confirmed for Thursday at 10:30 AM. Please arrive 10 minutes early. Let me know.
ham,Happy birthday Bilal! Hope you have a great day. This message is important.
ham,"Hi Ahmed, can we meet tomorrow at 12 PM to discuss the project?"
ham,"Hi Ayesha, can we meet tomorrow at 12 PM to discuss the project?"
spam,Win cash today! Text WIN to 1068 and get entered in the grand draw. Please respond soon.
ham,Reminder: our class presentation is scheduled for Tuesday at 12 PM. Please respond soon.
ham,The client requested a few changes in the design. I will explain during the call. Please respond soon.
spam,Win cash today! Text WIN to 6752 and get entered in the grand draw. Check your inbox for details.
ham,Your appointment is confirmed for Thursday at 12 PM. Please arrive 10 minutes early. Thank you.
spam,"Congratulations Usman, you have won a shopping voucher. Claim your reward now by replying YES. Thank you."
spam,Win cash today! Text WIN to 6843 and get entered in the grand draw. This message is important.
ham,Your appointment is confirmed for Wednesday at 12 PM. Please arrive 10 minutes early.
ham,Your appointment is confirmed for Tuesday at 6 PM. Please arrive 10 minutes early. Check your inbox for details.
spam,"Congratulations Zara, you have won a laptop. Claim your reward now by replying YES."
spam,Win cash today! Text WIN to 7518 and get entered in the grand draw. Check your inbox for details.
spam,Win cash today! Text WIN to 5980 and get entered in the grand draw.
spam,"Exclusive deal just for you: earn Rs 50,000 from home with no experience required. Please respond soon."
spam,Win cash today! Text WIN to 1081 and get entered in the grand draw.
ham,Your appointment is confirmed for Thursday at 12 PM. Please arrive 10 minutes early. Check your inbox for details.
ham,I have completed the first draft of the report and uploaded it to the shared folder.
spam,Your subscription payment failed. Update billing information now to keep service active. Let me know.
ham,Reminder: our class presentation is scheduled for Saturday at 6 PM. Check your inbox for details.
spam,Win cash today! Text WIN to 4026 and get entered in the grand draw.
spam,"Earn money fast from your phone. No skills needed, daily payout available."
ham,Your appointment is confirmed for Thursday at 12 PM. Please arrive 10 minutes early.
ham,Let's have lunch after the lecture if you are free. This message is important.
ham,Happy birthday Usman! Hope you have a great day. Check your inbox for details.
spam,Limited time offer! Get 60% off on premium membership. Act before midnight.
ham,The team meeting has been moved to Tuesday. Please confirm your availability. Thank you.
spam,"Congratulations Noor, you have won a smartwatch. Claim your reward now by replying YES. Check your inbox for details."
ham,Your appointment is confirmed for Wednesday at 6 PM. Please arrive 10 minutes early. Check your inbox for details.
spam,You are our lucky winner for a cash reward. Send your code 6909 to receive it.
